Container: container_1649687236961_0265_01_000006 on dbg12:42025
LogAggregationType: LOCAL
================================================================
LogType:syslog_attempt_1649687236961_0265_1_05_000003_0
LogLastModifiedTime:Sat Apr 23 13:32:47 +0800 2022
LogLength:176115
LogContents:
2022-04-23 13:32:32,760 [INFO] [main] |metrics.TaskCounterUpdater|: Using ResourceCalculatorProcessTree : org.apache.tez.util.TezMxBeanResourceCalculator
2022-04-23 05:32:37,916 [INFO] [Fetcher_O {Map_1} #4] |ShuffleScheduler.fetch|: Completed fetch for attempt: {3, 0, attempt_1649687236961_0265_1_04_000003_0_10003} to MEMORY, csize=14484838, dsize=14484834, EndTime=1650691957916, TimeTaken=323, Rate=42.76 MB/s
2022-04-23 05:32:38,057 [INFO] [Fetcher_O {Map_1} #4] |ShuffleScheduler.fetch|: Completed fetch for attempt: {6, 0, attempt_1649687236961_0265_1_04_000006_0_10002} to MEMORY, csize=14475188, dsize=14475184, EndTime=1650691958057, TimeTaken=140, Rate=98.60 MB/s
2022-04-23 05:32:38,354 [INFO] [Fetcher_O {Map_1} #2] |ShuffleScheduler.fetch|: Completed fetch for attempt: {5, 0, attempt_1649687236961_0265_1_04_000005_0_10002} to MEMORY, csize=14438012, dsize=14438008, EndTime=1650691958354, TimeTaken=1217, Rate=11.31 MB/s
2022-04-23 05:32:38,642 [INFO] [Fetcher_O {Map_1} #2] |ShuffleScheduler.fetch|: Completed fetch for attempt: {4, 0, attempt_1649687236961_0265_1_04_000004_0_10003} to MEMORY, csize=14473630, dsize=14473626, EndTime=1650691958642, TimeTaken=288, Rate=47.92 MB/s
2022-04-23 05:32:38,852 [INFO] [Fetcher_O {Map_1} #4] |ShuffleScheduler.fetch|: Completed fetch for attempt: {0, 0, attempt_1649687236961_0265_1_04_000000_0_10003} to MEMORY, csize=14538653, dsize=14538649, EndTime=1650691958852, TimeTaken=795, Rate=17.44 MB/s
2022-04-23 05:32:39,174 [INFO] [Fetcher_O {Map_1} #2] |ShuffleScheduler.fetch|: Completed fetch for attempt: {2, 0, attempt_1649687236961_0265_1_04_000002_0_10003} to MEMORY, csize=14478632, dsize=14478628, EndTime=1650691959174, TimeTaken=532, Rate=25.95 MB/s
2022-04-23 05:32:39,298 [INFO] [Fetcher_O {Map_1} #2] |ShuffleScheduler.fetch|: Completed fetch for attempt: {1, 0, attempt_1649687236961_0265_1_04_000001_0_10003} to MEMORY, csize=14573719, dsize=14573715, EndTime=1650691959298, TimeTaken=124, Rate=112.08 MB/s
2022-04-23 05:32:39,298 [INFO] [Fetcher_O {Map_1} #2] |orderedgrouped.ShuffleScheduler|: All inputs fetched for input vertex : Map 1
2022-04-23 05:32:39,298 [INFO] [Fetcher_O {Map_1} #2] |orderedgrouped.ShuffleScheduler|: copy(19 (spillsFetched=19) of 19. Transfer rate (CumulativeDataFetched/TimeSinceInputStarted)) 39.67 MB/s)
2022-04-23 05:32:39,298 [INFO] [ShuffleAndMergeRunner {Map_1}] |orderedgrouped.ShuffleScheduler|: Shutting down FetchScheduler for input: Map_1, wasInterrupted=false
2022-04-23 05:32:39,299 [INFO] [ShuffleAndMergeRunner {Map_1}] |orderedgrouped.ShuffleScheduler|: copy(19 (spillsFetched=19) of 19. Transfer rate (CumulativeDataFetched/TimeSinceInputStarted)) 39.67 MB/s)
2022-04-23 05:32:39,300 [INFO] [ShuffleAndMergeRunner {Map_1}] |orderedgrouped.ShuffleScheduler|: Shutting down fetchers for input: Map_1, shutdown timetaken: 0 ms, hasFetcherExecutorStopped: true
2022-04-23 05:32:39,300 [INFO] [ShuffleAndMergeRunner {Map_1}] |orderedgrouped.MergeManager|: TotalInMemFetchStats: count=16, totalSize=150826156, min=3278298, max=14573715, avg=1.0
2022-04-23 05:32:39,300 [INFO] [ShuffleAndMergeRunner {Map_1}] |orderedgrouped.MergeManager|: finalMerge with #inMemoryOutputs=16, size=150826156 and #onDiskOutputs=3, size=15567598
2022-04-23 05:32:40,393 [INFO] [ShuffleAndMergeRunner {Map_1}] |orderedgrouped.Shuffle|: merge complete for input vertex : Map_1
2022-04-23 05:32:40,393 [INFO] [ShuffleAndMergeRunner {Map_1}] |orderedgrouped.Shuffle|: Map_1: Shuffle Runner thread complete
2022-04-23 05:32:40,393 [INFO] [ShuffleAndMergeRunner {Map_1}] |orderedgrouped.Shuffle|: Fang: ending shuffle fetch data from Map_1 at time: 6111757167708753 ns and take time: 4482.637959 ms
2022-04-23 05:32:40,393 [INFO] [TezChild] |tez.ReduceRecordProcessor|: Main work is Reducer 2
2022-04-23 05:32:40,393 [INFO] [TezChild] |tez.ReduceRecordProcessor|: Memory available for operators set to 284.38GB
2022-04-23 05:32:40,394 [INFO] [TezChild] |tez.ObjectCache|: Caching key: hive_20220423053136_9b83e343-1905-4ecc-bcac-e7e62aabbeea_DynamicValueRegistry
2022-04-23 05:32:40,396 [INFO] [TezChild] |input.OrderedGroupedKVInput|: Map 1: creating ValuesIterator with comparator=org.apache.tez.runtime.library.common.comparator.TezBytesComparator, keyClass=org.apache.hadoop.hive.ql.io.HiveKey, valClass=org.apache.hadoop.io.BytesWritable
2022-04-23 05:32:40,413 [INFO] [TezChild] |input.OrderedGroupedKVInput|: Map 5: creating ValuesIterator with comparator=org.apache.tez.runtime.library.common.comparator.TezBytesComparator, keyClass=org.apache.hadoop.hive.ql.io.HiveKey, valClass=org.apache.hadoop.io.BytesWritable
2022-04-23 05:32:40,413 [INFO] [TezChild] |exec.CommonMergeJoinOperator|: Initializing operator MERGEJOIN[55]
2022-04-23 05:32:40,421 [INFO] [TezChild] |exec.CommonJoinOperator|: JOIN struct<_col0:bigint,_col2:bigint,_col3:bigint,_col4:double,_col5:double,_col8:string> totalsz = 6
2022-04-23 05:32:40,423 [INFO] [TezChild] |tez.ReduceRecordProcessor|: 
<MERGEJOIN>Id =55
  <Children>
    <MAPJOIN>Id =56
      <Children>
        <MAPJOIN>Id =57
          <Children>
            <MAPJOIN>Id =58
              <Children>
                <SEL>Id =27
                  <Children>
                    <GBY>Id =29
                      <Children>
                        <RS>Id =30
                          <Children>
                          <\Children>
                          <Parent>Id = 29 null<\Parent>
                        <\RS>
                      <\Children>
                      <Parent>Id = 27 null<\Parent>
                    <\GBY>
                  <\Children>
                  <Parent>Id = 58 null<\Parent>
                <\SEL>
              <\Children>
              <Parent>Id = 57 nullId = 61 
            <HASHTABLEDUMMY>Id =61
              <Children>null
              <\Children>
              <Parent><\Parent>
            <\HASHTABLEDUMMY><\Parent>
            <\MAPJOIN>
          <\Children>
          <Parent>Id = 56 nullId = 60 
        <HASHTABLEDUMMY>Id =60
          <Children>null
          <\Children>
          <Parent><\Parent>
        <\HASHTABLEDUMMY><\Parent>
        <\MAPJOIN>
      <\Children>
      <Parent>Id = 55 nullId = 59 
    <HASHTABLEDUMMY>Id =59
      <Children>null
      <\Children>
      <Parent><\Parent>
    <\HASHTABLEDUMMY><\Parent>
    <\MAPJOIN>
  <\Children>
  <Parent><\Parent>
<\MERGEJOIN>
2022-04-23 05:32:40,423 [INFO] [TezChild] |exec.HashTableDummyOperator|: Initializing operator HASHTABLEDUMMY[60]
2022-04-23 05:32:40,423 [INFO] [TezChild] |exec.HashTableDummyOperator|: Initializing operator HASHTABLEDUMMY[61]
2022-04-23 05:32:40,423 [INFO] [TezChild] |exec.HashTableDummyOperator|: Initializing operator HASHTABLEDUMMY[59]
2022-04-23 05:32:40,423 [INFO] [TezChild] |exec.MapJoinOperator|: Initializing operator MAPJOIN[56]
2022-04-23 05:32:40,425 [INFO] [TezChild] |exec.CommonJoinOperator|: JOIN struct<_col0:bigint,_col3:bigint,_col4:double,_col5:double,_col8:string,_col10:string> totalsz = 6
2022-04-23 05:32:40,430 [INFO] [TezChild] |exec.MapJoinOperator|: Initializing operator MAPJOIN[57]
2022-04-23 05:32:40,431 [INFO] [pool-13-thread-1] |exec.MapJoinOperator|: GHive warn: loader type is class org.apache.hadoop.hive.ql.exec.tez.HashTableLoader
2022-04-23 05:32:40,432 [INFO] [pool-13-thread-1] |tez.HashTableLoader|: Memory manager allocates 0 bytes for the loading hashtable.
2022-04-23 05:32:40,432 [INFO] [TezChild] |exec.CommonJoinOperator|: JOIN struct<_col0:bigint,_col4:double,_col5:double,_col8:string,_col10:string,_col13:int> totalsz = 6
2022-04-23 05:32:40,433 [INFO] [TezChild] |exec.MapJoinOperator|: Initializing operator MAPJOIN[58]
2022-04-23 05:32:40,433 [INFO] [pool-13-thread-2] |exec.MapJoinOperator|: GHive warn: loader type is class org.apache.hadoop.hive.ql.exec.tez.HashTableLoader
2022-04-23 05:32:40,433 [INFO] [pool-13-thread-2] |tez.HashTableLoader|: Memory manager allocates 0 bytes for the loading hashtable.
2022-04-23 05:32:40,434 [INFO] [TezChild] |exec.CommonJoinOperator|: JOIN struct<_col4:double,_col5:double,_col8:string,_col10:string,_col13:int> totalsz = 5
2022-04-23 05:32:40,434 [INFO] [pool-13-thread-1] |tez.HashTableLoader|: Not doing hash table memory monitoring. { isLlap: false executorsPerNode: 1 maxExecutorsOverSubscribeMemory: 3 memoryOverSubscriptionFactor: 0.20000000298023224 memoryCheckInterval: 100000 noConditionalTaskSize: 10000000 adjustedNoConditionalTaskSize: 10000000 hashTableInflationFactor: 2.0 threshold: 20000000 }
2022-04-23 05:32:40,434 [INFO] [pool-13-thread-2] |tez.HashTableLoader|: Not doing hash table memory monitoring. { isLlap: false executorsPerNode: 1 maxExecutorsOverSubscribeMemory: 3 memoryOverSubscriptionFactor: 0.20000000298023224 memoryCheckInterval: 100000 noConditionalTaskSize: 10000000 adjustedNoConditionalTaskSize: 10000000 hashTableInflationFactor: 2.0 threshold: 20000000 }
2022-04-23 05:32:40,434 [INFO] [TezChild] |exec.SelectOperator|: Initializing operator SEL[27]
2022-04-23 05:32:40,434 [INFO] [pool-13-thread-3] |exec.MapJoinOperator|: GHive warn: loader type is class org.apache.hadoop.hive.ql.exec.tez.HashTableLoader
2022-04-23 05:32:40,434 [INFO] [pool-13-thread-3] |tez.HashTableLoader|: Memory manager allocates 0 bytes for the loading hashtable.
2022-04-23 05:32:40,434 [INFO] [TezChild] |exec.SelectOperator|: SELECT struct<_col4:double,_col5:double,_col8:string,_col10:string,_col13:int>
2022-04-23 05:32:40,434 [INFO] [pool-13-thread-3] |tez.HashTableLoader|: Not doing hash table memory monitoring. { isLlap: false executorsPerNode: 1 maxExecutorsOverSubscribeMemory: 3 memoryOverSubscriptionFactor: 0.20000000298023224 memoryCheckInterval: 100000 noConditionalTaskSize: 10000000 adjustedNoConditionalTaskSize: 10000000 hashTableInflationFactor: 2.0 threshold: 20000000 }
2022-04-23 05:32:40,438 [INFO] [TezChild] |exec.GroupByOperator|: Initializing operator GBY[29]
2022-04-23 05:32:40,439 [INFO] [pool-13-thread-3] |persistence.HashMapWrapper|: Key count from statistics is 42000; setting map size to 28000
2022-04-23 05:32:40,439 [INFO] [pool-13-thread-1] |persistence.HashMapWrapper|: Key count from statistics is 583; setting map size to 389
2022-04-23 05:32:40,440 [INFO] [pool-13-thread-3] |persistence.HybridHashTableContainer|: Total available memory: 10000000
2022-04-23 05:32:40,440 [INFO] [pool-13-thread-1] |persistence.HybridHashTableContainer|: Total available memory: 10000000
2022-04-23 05:32:40,440 [INFO] [pool-13-thread-1] |persistence.HybridHashTableContainer|: Estimated small table size: 116017
2022-04-23 05:32:40,440 [INFO] [pool-13-thread-3] |persistence.HybridHashTableContainer|: Estimated small table size: 4158000
2022-04-23 05:32:40,440 [INFO] [pool-13-thread-3] |persistence.HybridHashTableContainer|: Number of hash partitions to be created: 16
2022-04-23 05:32:40,439 [INFO] [pool-13-thread-2] |persistence.HashMapWrapper|: Key count from statistics is 730; setting map size to 487
2022-04-23 05:32:40,440 [INFO] [pool-13-thread-3] |persistence.HybridHashTableContainer|: Total available memory is: 10000000
2022-04-23 05:32:40,440 [INFO] [pool-13-thread-1] |persistence.HybridHashTableContainer|: Number of hash partitions to be created: 16
2022-04-23 05:32:40,440 [INFO] [pool-13-thread-3] |persistence.HybridHashTableContainer|: Write buffer size: 524288
2022-04-23 05:32:40,440 [INFO] [pool-13-thread-2] |persistence.HybridHashTableContainer|: Total available memory: 10000000
2022-04-23 05:32:40,440 [INFO] [pool-13-thread-2] |persistence.HybridHashTableContainer|: Estimated small table size: 8760
2022-04-23 05:32:40,440 [INFO] [pool-13-thread-2] |persistence.HybridHashTableContainer|: Number of hash partitions to be created: 16
2022-04-23 05:32:40,440 [INFO] [pool-13-thread-2] |persistence.HybridHashTableContainer|: Total available memory is: 10000000
2022-04-23 05:32:40,440 [INFO] [pool-13-thread-1] |persistence.HybridHashTableContainer|: Total available memory is: 10000000
2022-04-23 05:32:40,440 [INFO] [pool-13-thread-2] |persistence.HybridHashTableContainer|: Write buffer size: 524288
2022-04-23 05:32:40,440 [INFO] [pool-13-thread-1] |persistence.HybridHashTableContainer|: Write buffer size: 524288
2022-04-23 05:32:40,442 [INFO] [pool-13-thread-2] |persistence.HybridHashTableContainer|: Using a bloom-1 filter 487 keys of size 384 bytes
2022-04-23 05:32:40,442 [INFO] [pool-13-thread-1] |persistence.HybridHashTableContainer|: Using a bloom-1 filter 389 keys of size 304 bytes
2022-04-23 05:32:40,442 [INFO] [pool-13-thread-3] |persistence.HybridHashTableContainer|: Using a bloom-1 filter 28000 keys of size 21824 bytes
2022-04-23 05:32:40,445 [INFO] [TezChild] |exec.GroupByOperator|: Max hash table memory: 152672665600 bytes
2022-04-23 05:32:40,447 [INFO] [TezChild] |exec.GroupByOperator|: isTez: true isLlap: false numExecutors: 1 maxMemory: 305345331200
2022-04-23 05:32:40,447 [INFO] [TezChild] |exec.ReduceSinkOperator|: Initializing operator RS[30]
2022-04-23 05:32:40,447 [INFO] [pool-13-thread-3] |persistence.HybridHashTableContainer|: Each new partition will require memory: 65760
2022-04-23 05:32:40,447 [INFO] [pool-13-thread-2] |persistence.HybridHashTableContainer|: Each new partition will require memory: 65760
2022-04-23 05:32:40,447 [INFO] [pool-13-thread-1] |persistence.HybridHashTableContainer|: Each new partition will require memory: 65760
2022-04-23 05:32:40,447 [INFO] [pool-13-thread-2] |persistence.HybridHashTableContainer|: Hash partition 0 is created in memory. Total memory usage so far: 66144
2022-04-23 05:32:40,447 [INFO] [pool-13-thread-3] |persistence.HybridHashTableContainer|: Hash partition 0 is created in memory. Total memory usage so far: 87584
2022-04-23 05:32:40,447 [INFO] [pool-13-thread-1] |persistence.HybridHashTableContainer|: Hash partition 0 is created in memory. Total memory usage so far: 66064
2022-04-23 05:32:40,447 [INFO] [pool-13-thread-3] |persistence.HybridHashTableContainer|: Hash partition 1 is created in memory. Total memory usage so far: 153344
2022-04-23 05:32:40,447 [INFO] [pool-13-thread-2] |persistence.HybridHashTableContainer|: Hash partition 1 is created in memory. Total memory usage so far: 131904
2022-04-23 05:32:40,448 [INFO] [pool-13-thread-3] |persistence.HybridHashTableContainer|: Hash partition 2 is created in memory. Total memory usage so far: 219104
2022-04-23 05:32:40,448 [INFO] [pool-13-thread-3] |persistence.HybridHashTableContainer|: Hash partition 3 is created in memory. Total memory usage so far: 284864
2022-04-23 05:32:40,448 [INFO] [pool-13-thread-2] |persistence.HybridHashTableContainer|: Hash partition 2 is created in memory. Total memory usage so far: 197664
2022-04-23 05:32:40,448 [INFO] [pool-13-thread-3] |persistence.HybridHashTableContainer|: Hash partition 4 is created in memory. Total memory usage so far: 350624
2022-04-23 05:32:40,448 [INFO] [pool-13-thread-1] |persistence.HybridHashTableContainer|: Hash partition 1 is created in memory. Total memory usage so far: 131824
2022-04-23 05:32:40,448 [INFO] [pool-13-thread-3] |persistence.HybridHashTableContainer|: Hash partition 5 is created in memory. Total memory usage so far: 416384
2022-04-23 05:32:40,448 [INFO] [pool-13-thread-2] |persistence.HybridHashTableContainer|: Hash partition 3 is created in memory. Total memory usage so far: 263424
2022-04-23 05:32:40,448 [INFO] [pool-13-thread-3] |persistence.HybridHashTableContainer|: Hash partition 6 is created in memory. Total memory usage so far: 482144
2022-04-23 05:32:40,448 [INFO] [pool-13-thread-1] |persistence.HybridHashTableContainer|: Hash partition 2 is created in memory. Total memory usage so far: 197584
2022-04-23 05:32:40,448 [INFO] [pool-13-thread-3] |persistence.HybridHashTableContainer|: Hash partition 7 is created in memory. Total memory usage so far: 547904
2022-04-23 05:32:40,448 [INFO] [pool-13-thread-2] |persistence.HybridHashTableContainer|: Hash partition 4 is created in memory. Total memory usage so far: 329184
2022-04-23 05:32:40,448 [INFO] [pool-13-thread-3] |persistence.HybridHashTableContainer|: Hash partition 8 is created in memory. Total memory usage so far: 613664
2022-04-23 05:32:40,448 [INFO] [pool-13-thread-1] |persistence.HybridHashTableContainer|: Hash partition 3 is created in memory. Total memory usage so far: 263344
2022-04-23 05:32:40,448 [INFO] [pool-13-thread-3] |persistence.HybridHashTableContainer|: Hash partition 9 is created in memory. Total memory usage so far: 679424
2022-04-23 05:32:40,448 [INFO] [pool-13-thread-2] |persistence.HybridHashTableContainer|: Hash partition 5 is created in memory. Total memory usage so far: 394944
2022-04-23 05:32:40,448 [INFO] [pool-13-thread-3] |persistence.HybridHashTableContainer|: Hash partition 10 is created in memory. Total memory usage so far: 745184
2022-04-23 05:32:40,448 [INFO] [pool-13-thread-1] |persistence.HybridHashTableContainer|: Hash partition 4 is created in memory. Total memory usage so far: 329104
2022-04-23 05:32:40,448 [INFO] [pool-13-thread-3] |persistence.HybridHashTableContainer|: Hash partition 11 is created in memory. Total memory usage so far: 810944
2022-04-23 05:32:40,448 [INFO] [pool-13-thread-2] |persistence.HybridHashTableContainer|: Hash partition 6 is created in memory. Total memory usage so far: 460704
2022-04-23 05:32:40,448 [INFO] [pool-13-thread-1] |persistence.HybridHashTableContainer|: Hash partition 5 is created in memory. Total memory usage so far: 394864
2022-04-23 05:32:40,448 [INFO] [pool-13-thread-3] |persistence.HybridHashTableContainer|: Hash partition 12 is created in memory. Total memory usage so far: 876704
2022-04-23 05:32:40,448 [INFO] [pool-13-thread-2] |persistence.HybridHashTableContainer|: Hash partition 7 is created in memory. Total memory usage so far: 526464
2022-04-23 05:32:40,448 [INFO] [pool-13-thread-1] |persistence.HybridHashTableContainer|: Hash partition 6 is created in memory. Total memory usage so far: 460624
2022-04-23 05:32:40,448 [INFO] [pool-13-thread-3] |persistence.HybridHashTableContainer|: Hash partition 13 is created in memory. Total memory usage so far: 942464
2022-04-23 05:32:40,448 [INFO] [pool-13-thread-3] |persistence.HybridHashTableContainer|: Hash partition 14 is created in memory. Total memory usage so far: 1008224
2022-04-23 05:32:40,448 [INFO] [pool-13-thread-1] |persistence.HybridHashTableContainer|: Hash partition 7 is created in memory. Total memory usage so far: 526384
2022-04-23 05:32:40,448 [INFO] [pool-13-thread-1] |persistence.HybridHashTableContainer|: Hash partition 8 is created in memory. Total memory usage so far: 592144
2022-04-23 05:32:40,448 [INFO] [pool-13-thread-1] |persistence.HybridHashTableContainer|: Hash partition 9 is created in memory. Total memory usage so far: 657904
2022-04-23 05:32:40,448 [INFO] [pool-13-thread-3] |persistence.HybridHashTableContainer|: Hash partition 15 is created in memory. Total memory usage so far: 1073984
2022-04-23 05:32:40,448 [INFO] [pool-13-thread-2] |persistence.HybridHashTableContainer|: Hash partition 8 is created in memory. Total memory usage so far: 592224
2022-04-23 05:32:40,449 [INFO] [pool-13-thread-3] |persistence.HybridHashTableContainer|: Number of partitions created: 16
2022-04-23 05:32:40,449 [INFO] [pool-13-thread-3] |persistence.HybridHashTableContainer|: Number of partitions spilled directly to disk on creation: 0
2022-04-23 05:32:40,449 [INFO] [pool-13-thread-2] |persistence.HybridHashTableContainer|: Hash partition 9 is created in memory. Total memory usage so far: 657984
2022-04-23 05:32:40,449 [INFO] [pool-13-thread-1] |persistence.HybridHashTableContainer|: Hash partition 10 is created in memory. Total memory usage so far: 723664
2022-04-23 05:32:40,449 [INFO] [pool-13-thread-3] |tez.HashTableLoader|: Loading hash table for input: Map 8 cacheKey: HASH_MAP_MAPJOIN_58_container tableContainer: HybridHashTableContainer smallTablePos: 1
2022-04-23 05:32:40,449 [INFO] [pool-13-thread-2] |persistence.HybridHashTableContainer|: Hash partition 10 is created in memory. Total memory usage so far: 723744
2022-04-23 05:32:40,449 [INFO] [pool-13-thread-3] |persistence.HybridHashTableContainer|: Initializing container with org.apache.hadoop.hive.serde2.binarysortable.BinarySortableSerDe and org.apache.hadoop.hive.serde2.lazybinary.LazyBinarySerDe
2022-04-23 05:32:40,449 [INFO] [pool-13-thread-2] |persistence.HybridHashTableContainer|: Hash partition 11 is created in memory. Total memory usage so far: 789504
2022-04-23 05:32:40,449 [INFO] [pool-13-thread-1] |persistence.HybridHashTableContainer|: Hash partition 11 is created in memory. Total memory usage so far: 789424
2022-04-23 05:32:40,449 [INFO] [pool-13-thread-2] |persistence.HybridHashTableContainer|: Hash partition 12 is created in memory. Total memory usage so far: 855264
2022-04-23 05:32:40,449 [INFO] [pool-13-thread-2] |persistence.HybridHashTableContainer|: Hash partition 13 is created in memory. Total memory usage so far: 921024
2022-04-23 05:32:40,449 [INFO] [pool-13-thread-1] |persistence.HybridHashTableContainer|: Hash partition 12 is created in memory. Total memory usage so far: 855184
2022-04-23 05:32:40,449 [INFO] [pool-13-thread-2] |persistence.HybridHashTableContainer|: Hash partition 14 is created in memory. Total memory usage so far: 986784
2022-04-23 05:32:40,449 [INFO] [pool-13-thread-1] |persistence.HybridHashTableContainer|: Hash partition 13 is created in memory. Total memory usage so far: 920944
2022-04-23 05:32:40,449 [INFO] [pool-13-thread-2] |persistence.HybridHashTableContainer|: Hash partition 15 is created in memory. Total memory usage so far: 1052544
2022-04-23 05:32:40,449 [INFO] [pool-13-thread-2] |persistence.HybridHashTableContainer|: Number of partitions created: 16
2022-04-23 05:32:40,449 [INFO] [pool-13-thread-2] |persistence.HybridHashTableContainer|: Number of partitions spilled directly to disk on creation: 0
2022-04-23 05:32:40,449 [INFO] [pool-13-thread-1] |persistence.HybridHashTableContainer|: Hash partition 14 is created in memory. Total memory usage so far: 986704
2022-04-23 05:32:40,449 [INFO] [pool-13-thread-2] |tez.HashTableLoader|: Loading hash table for input: Map 7 cacheKey: HASH_MAP_MAPJOIN_57_container tableContainer: HybridHashTableContainer smallTablePos: 1
2022-04-23 05:32:40,449 [INFO] [pool-13-thread-2] |persistence.HybridHashTableContainer|: Initializing container with org.apache.hadoop.hive.serde2.binarysortable.BinarySortableSerDe and org.apache.hadoop.hive.serde2.lazybinary.LazyBinarySerDe
2022-04-23 05:32:40,449 [INFO] [pool-13-thread-1] |persistence.HybridHashTableContainer|: Hash partition 15 is created in memory. Total memory usage so far: 1052464
2022-04-23 05:32:40,449 [INFO] [pool-13-thread-1] |persistence.HybridHashTableContainer|: Number of partitions created: 16
2022-04-23 05:32:40,449 [INFO] [pool-13-thread-1] |persistence.HybridHashTableContainer|: Number of partitions spilled directly to disk on creation: 0
2022-04-23 05:32:40,449 [INFO] [TezChild] |exec.ReduceSinkOperator|: Using tag = -1
2022-04-23 05:32:40,449 [INFO] [pool-13-thread-1] |tez.HashTableLoader|: Loading hash table for input: Map 6 cacheKey: HASH_MAP_MAPJOIN_56_container tableContainer: HybridHashTableContainer smallTablePos: 1
2022-04-23 05:32:40,450 [INFO] [pool-13-thread-1] |persistence.HybridHashTableContainer|: Initializing container with org.apache.hadoop.hive.serde2.binarysortable.BinarySortableSerDe and org.apache.hadoop.hive.serde2.lazybinary.LazyBinarySerDe
2022-04-23 05:32:40,454 [INFO] [pool-13-thread-2] |common.FileUtils|: Local directories not specified; created a tmp file: /home/hive/hadoop-fs/tmp/nm-local-dir/usercache/hive/appcache/application_1649687236961_0265/container_1649687236961_0265_01_000017/tmp/partition-13-5349184725410036589.tmp
2022-04-23 05:32:40,454 [INFO] [pool-13-thread-1] |common.FileUtils|: Local directories not specified; created a tmp file: /home/hive/hadoop-fs/tmp/nm-local-dir/usercache/hive/appcache/application_1649687236961_0265/container_1649687236961_0265_01_000017/tmp/partition-5-7426093924125558516.tmp
2022-04-23 05:32:40,454 [INFO] [pool-13-thread-3] |common.FileUtils|: Local directories not specified; created a tmp file: /home/hive/hadoop-fs/tmp/nm-local-dir/usercache/hive/appcache/application_1649687236961_0265/container_1649687236961_0265_01_000017/tmp/partition-15-5371525658451604588.tmp
2022-04-23 05:32:40,455 [INFO] [pool-13-thread-2] |persistence.HybridHashTableContainer|: Trying to spill hash partition 13 ...
2022-04-23 05:32:40,459 [INFO] [pool-13-thread-3] |persistence.HybridHashTableContainer|: Trying to spill hash partition 15 ...
2022-04-23 05:32:40,462 [INFO] [pool-13-thread-2] |persistence.HybridHashTableContainer|: Spilling hash partition 13 (Rows: 2, Mem size: 1114416): /home/hive/hadoop-fs/tmp/nm-local-dir/usercache/hive/appcache/application_1649687236961_0265/container_1649687236961_0265_01_000017/tmp/partition-13-5349184725410036589.tmp
2022-04-23 05:32:40,463 [INFO] [pool-13-thread-2] |persistence.HybridHashTableContainer|: Memory usage before spilling: 2101200
2022-04-23 05:32:40,463 [INFO] [pool-13-thread-2] |persistence.HybridHashTableContainer|: Memory usage after spilling: 986784
2022-04-23 05:32:40,464 [INFO] [pool-13-thread-2] |common.FileUtils|: Local directories not specified; created a tmp file: /home/hive/hadoop-fs/tmp/nm-local-dir/usercache/hive/appcache/application_1649687236961_0265/container_1649687236961_0265_01_000017/tmp/partition-10-4787237964025030354.tmp
2022-04-23 05:32:40,464 [INFO] [pool-13-thread-2] |persistence.HybridHashTableContainer|: Trying to spill hash partition 10 ...
2022-04-23 05:32:40,464 [INFO] [pool-13-thread-3] |persistence.HybridHashTableContainer|: Spilling hash partition 15 (Rows: 2, Mem size: 1114416): /home/hive/hadoop-fs/tmp/nm-local-dir/usercache/hive/appcache/application_1649687236961_0265/container_1649687236961_0265_01_000017/tmp/partition-15-5371525658451604588.tmp
2022-04-23 05:32:40,464 [INFO] [pool-13-thread-3] |persistence.HybridHashTableContainer|: Memory usage before spilling: 2122640
2022-04-23 05:32:40,464 [INFO] [pool-13-thread-3] |persistence.HybridHashTableContainer|: Memory usage after spilling: 1008224
2022-04-23 05:32:40,464 [INFO] [pool-13-thread-1] |persistence.HybridHashTableContainer|: Trying to spill hash partition 5 ...
2022-04-23 05:32:40,467 [INFO] [pool-13-thread-2] |persistence.HybridHashTableContainer|: Spilling hash partition 10 (Rows: 1, Mem size: 1114416): /home/hive/hadoop-fs/tmp/nm-local-dir/usercache/hive/appcache/application_1649687236961_0265/container_1649687236961_0265_01_000017/tmp/partition-10-4787237964025030354.tmp
2022-04-23 05:32:40,467 [INFO] [pool-13-thread-2] |persistence.HybridHashTableContainer|: Memory usage before spilling: 3084096
2022-04-23 05:32:40,467 [INFO] [pool-13-thread-3] |common.FileUtils|: Local directories not specified; created a tmp file: /home/hive/hadoop-fs/tmp/nm-local-dir/usercache/hive/appcache/application_1649687236961_0265/container_1649687236961_0265_01_000017/tmp/key-value-container3616059410686837913
2022-04-23 05:32:40,467 [INFO] [pool-13-thread-2] |persistence.HybridHashTableContainer|: Memory usage after spilling: 1969680
2022-04-23 05:32:40,467 [INFO] [pool-13-thread-3] |persistence.KeyValueContainer|: KeyValueContainer created temp file /home/hive/hadoop-fs/tmp/nm-local-dir/usercache/hive/appcache/application_1649687236961_0265/container_1649687236961_0265_01_000017/tmp/key-value-container3616059410686837913/KeyValueContainer4464070188180636818.tmp
2022-04-23 05:32:40,467 [INFO] [pool-13-thread-3] |common.FileUtils|: Local directories not specified; created a tmp file: /home/hive/hadoop-fs/tmp/nm-local-dir/usercache/hive/appcache/application_1649687236961_0265/container_1649687236961_0265_01_000017/tmp/partition-11-850975736516411735.tmp
